#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.588	0.064	0.110	0	0.695	0.724
ABL1	APEX1	9606.ENSP00000361423	9606.ENSP00000216714	0	0	0	0	0.050	0	0	0.446	0.451
ABL1	AURKA	9606.ENSP00000361423	9606.ENSP00000216911	0	0	0	0.626	0	0.067	0	0.470	0.484
ABL1	RIPK2	9606.ENSP00000361423	9606.ENSP00000220751	0	0	0	0.575	0.099	0	0	0.395	0.431
ABL1	MPO	9606.ENSP00000361423	9606.ENSP00000225275	0	0	0	0	0.067	0	0	0.471	0.485
ABL1	RPS6KB1	9606.ENSP00000361423	9606.ENSP00000225577	0	0	0	0.577	0	0.278	0	0.476	0.606
ABL1	NFKB1	9606.ENSP00000361423	9606.ENSP00000226574	0	0	0	0	0.085	0.095	0	0.434	0.490
ABL1	MAPK14	9606.ENSP00000361423	9606.ENSP00000229795	0	0	0	0.621	0.090	0.110	0.500	0.205	0.635
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0.095	0.215	0	0.346	0.495
ABL1	SMO	9606.ENSP00000361423	9606.ENSP00000249373	0	0	0	0	0.072	0.071	0	0.625	0.648
ABL1	RARA	9606.ENSP00000361423	9606.ENSP00000254066	0	0	0	0	0.063	0.097	0	0.695	0.719
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.607	0.097	0.098	0.400	0.511	0.729
ABL1	MDM2	9606.ENSP00000361423	9606.ENSP00000258149	0	0	0	0	0	0.628	0	0.732	0.896
ABL1	PDGFRB	9606.ENSP00000361423	9606.ENSP00000261799	0	0	0	0.581	0.093	0.316	0	0.376	0.580
ABL1	EP300	9606.ENSP00000361423	9606.ENSP00000263253	0	0	0	0	0.304	0.230	0	0.438	0.673
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.049	0.069	0	0.754	0.763
ABL1	CASP6	9606.ENSP00000361423	9606.ENSP00000265164	0	0	0	0	0.129	0.067	0	0.430	0.496
ABL1	CDK2	9606.ENSP00000361423	9606.ENSP00000266970	0	0	0	0.653	0.087	0.098	0	0.474	0.530
ABL1	ERBB2	9606.ENSP00000361423	9606.ENSP00000269571	0	0	0	0.591	0.049	0.615	0	0.325	0.731
ABL1	EGFR	9606.ENSP00000361423	9606.ENSP00000275493	0	0	0	0.591	0.067	0.790	0	0.347	0.861
ABL1	EPHA4	9606.ENSP00000361423	9606.ENSP00000281821	0	0	0	0.614	0.074	0	0.900	0.454	0.945
ABL1	FLT1	9606.ENSP00000361423	9606.ENSP00000282397	0	0	0	0.577	0.105	0.074	0	0.400	0.459
ABL1	APP	9606.ENSP00000361423	9606.ENSP00000284981	0	0	0	0	0.106	0.292	0	0.326	0.536
ABL1	CSF1R	9606.ENSP00000361423	9606.ENSP00000286301	0	0	0	0.604	0.055	0.074	0	0.504	0.528
ABL1	VCAM1	9606.ENSP00000361423	9606.ENSP00000294728	0	0	0	0	0	0.102	0	0.447	0.482
ABL1	ALB	9606.ENSP00000361423	9606.ENSP00000295897	0	0	0	0	0	0	0	0.436	0.436
ABL1	LRRK2	9606.ENSP00000361423	9606.ENSP00000298910	0	0	0	0.551	0.046	0.188	0	0.387	0.483
ABL1	ANPEP	9606.ENSP00000361423	9606.ENSP00000300060	0	0	0	0	0	0	0	0.575	0.575
ABL1	TERT	9606.ENSP00000361423	9606.ENSP00000309572	0	0	0	0	0	0.049	0	0.599	0.603
ABL1	CASP3	9606.ENSP00000361423	9606.ENSP00000311032	0	0	0	0	0.067	0.067	0	0.586	0.608
ABL1	PTPN2	9606.ENSP00000361423	9606.ENSP00000311857	0	0	0	0	0	0.115	0	0.552	0.587
ABL1	PRKDC	9606.ENSP00000361423	9606.ENSP00000313420	0	0	0	0	0.048	0.315	0	0.721	0.802
ABL1	GSK3B	9606.ENSP00000361423	9606.ENSP00000324806	0	0	0	0.566	0.049	0	0	0.497	0.501
ABL1	TBK1	9606.ENSP00000361423	9606.ENSP00000329967	0	0	0	0	0.087	0	0	0.456	0.482
ABL1	CASP9	9606.ENSP00000361423	9606.ENSP00000330237	0	0	0	0	0.074	0.311	0	0.466	0.629
ABL1	PRKCD	9606.ENSP00000361423	9606.ENSP00000331602	0	0	0	0.571	0.074	0.325	0	0.485	0.650
ABL1	EPHB3	9606.ENSP00000361423	9606.ENSP00000332118	0	0	0	0.615	0.074	0.043	0.900	0.434	0.943
ABL1	MAPK11	9606.ENSP00000361423	9606.ENSP00000333685	0	0	0	0.596	0.087	0.110	0.500	0.164	0.615
ABL1	HSP90AA1	9606.ENSP00000361423	9606.ENSP00000335153	0	0	0	0	0.080	0.788	0	0.922	0.983
ABL1	FYN	9606.ENSP00000361423	9606.ENSP00000346671	0	0	0.075	0.876	0.083	0.136	0.900	0.422	0.949
ABL1	EPHB4	9606.ENSP00000361423	9606.ENSP00000350896	0	0	0	0.618	0.099	0.043	0.900	0.457	0.947
ABL1	CASP8	9606.ENSP00000361423	9606.ENSP00000351273	0	0	0	0	0.064	0.067	0	0.443	0.471
ABL1	DNMT1	9606.ENSP00000361423	9606.ENSP00000352516	0	0	0	0	0.118	0.066	0	0.366	0.432
ABL1	NTRK3	9606.ENSP00000361423	9606.ENSP00000354207	0	0	0	0.629	0	0	0.900	0.192	0.915
ABL1	STAT1	9606.ENSP00000361423	9606.ENSP00000354394	0	0	0	0	0.103	0.096	0	0.658	0.699
ABL1	TOP1	9606.ENSP00000361423	9606.ENSP00000354522	0	0	0	0	0	0.297	0	0.279	0.472
ABL1	MTOR	9606.ENSP00000361423	9606.ENSP00000354558	0	0	0	0	0.067	0.315	0	0.557	0.692
ABL1	PARP1	9606.ENSP00000361423	9606.ENSP00000355759	0	0	0	0	0.047	0.292	0	0.713	0.789
ABL1	MAPKAPK2	9606.ENSP00000361423	9606.ENSP00000356070	0	0	0	0	0.062	0.047	0	0.510	0.523
ABL1	MDM4	9606.ENSP00000361423	9606.ENSP00000356150	0	0	0	0	0	0.298	0	0.369	0.538
ABL1	MCL1	9606.ENSP00000361423	9606.ENSP00000358022	0	0	0	0	0.086	0	0	0.741	0.753
ABL1	XIAP	9606.ENSP00000361423	9606.ENSP00000360242	0	0	0	0	0	0.092	0	0.621	0.641
ABL1	HSP90AB1	9606.ENSP00000361423	9606.ENSP00000360609	0	0	0	0	0.091	0.224	0	0.909	0.930
ABL1	PTPN1	9606.ENSP00000361423	9606.ENSP00000360683	0	0	0	0	0.049	0.346	0	0.370	0.574
ABL1	PIK3CD	9606.ENSP00000361423	9606.ENSP00000366563	0	0	0	0	0	0.069	0	0.385	0.403
ABL1	AKT1	9606.ENSP00000361423	9606.ENSP00000451828	0	0	0	0.577	0.102	0	0	0.369	0.409
ABL1	HDAC1	9606.ENSP00000361423	9606.ENSP00000362649	0	0	0	0	0.042	0.068	0	0.398	0.415
ABL1	CXCR4	9606.ENSP00000361423	9606.ENSP00000386884	0	0	0	0	0.042	0	0	0.417	0.417
ABL1	TNK2	9606.ENSP00000361423	9606.ENSP00000371341	0	0	0	0.600	0.049	0.053	0	0.406	0.418
ABL1	HDAC6	9606.ENSP00000361423	9606.ENSP00000365804	0	0	0	0	0.075	0.068	0	0.381	0.420
ABL1	PRKCB	9606.ENSP00000361423	9606.ENSP00000496129	0	0	0	0.573	0	0.050	0	0.417	0.422
ABL1	RELA	9606.ENSP00000361423	9606.ENSP00000384273	0	0	0	0	0.115	0.098	0	0.349	0.435
ABL1	PTPN6	9606.ENSP00000361423	9606.ENSP00000391592	0	0	0	0.554	0.055	0.333	0	0.178	0.437
ABL1	LCK	9606.ENSP00000361423	9606.ENSP00000477713	0	0	0.060	0.882	0.060	0	0	0.427	0.449
